City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
2,Baturite,BR,83.7,scattered clouds,-4.3286,-38.8847,Hotel Padre Cícero
7,Dingle,PH,77.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
9,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
12,Faanui,PF,80.74,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,Kikwit,CD,77.22,light rain,-5.041,18.8162,HOTEL PLACE YALABA
15,Nago,JP,74.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
16,Rikitea,PF,75.92,clear sky,-23.1203,-134.9692,People ThankYou
17,Tandur,IN,89.17,clear sky,17.2333,77.5833,SPOT ON 63149 Swagath Residency
19,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Atuona,PF,77.22,light rain,-9.8,-139.0333,Villa Enata
22,Caravelas,BR,76.73,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
27,Tezu,IN,70.57,clear sky,27.9167,96.1667,Circuit House
30,Butaritari,KI,80.96,moderate rain,3.0707,172.7902,Isles Sunset Lodge
33,Avarua,CK,75.25,light intensity shower rain,-21.2078,-159.775,Paradise Inn
35,Margasari,ID,76.46,broken clouds,-7.1,109.0167,Majlis Ta'lim NA-AM Jembayat
37,Roma,US,84.96,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
41,Hilo,US,76.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Acari,PE,77.02,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
45,Hithadhoo,MV,84.06,overcast clouds,-0.6,73.0833,Scoop Guest House
47,Vila Franca Do Campo,PT,72.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
48,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
50,Benguela,AO,73.35,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
51,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,Harindanga,IN,85.55,broken clouds,22.0383,88.3214,Hasanur Builders
54,Sao Filipe,CV,72.88,broken clouds,14.8961,-24.4956,Hotel Xaguate
57,Kapaa,US,73.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Padang,ID,77.72,overcast clouds,-0.9492,100.3543,Mercure Padang
62,Cairns,AU,73.35,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
63,Bethel,US,87.46,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
64,Lowestoft,GB,70.05,broken clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
71,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
74,Tanah Merah,MY,81.55,overcast clouds,5.8,102.15,Humaira Hotel
79,Hirara,JP,76.08,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
80,Saint George,US,75.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
81,San Joaquin,US,77.52,broken clouds,37.9333,-121.3011,University Plaza Waterfront Hotel
82,Camocim,BR,81.7,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
84,Moura,PT,75.31,clear sky,38.1401,-7.4486,Hotel de Moura
90,Inyonga,TZ,70.77,broken clouds,-6.7167,32.0667,Eden Rock Lodge
92,Lasa,IT,73.69,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
97,Eyl,SO,82.08,overcast clouds,7.9803,49.8164,Amiin Hotel
101,Basoko,CD,80.1,overcast clouds,1.2391,23.616,Jackyna Hotel
102,Kieta,PG,78.53,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
104,Manzanillo,CU,89.38,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
107,Sinnamary,GF,80.58,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
108,Rabo De Peixe,PT,71.28,broken clouds,37.8,-25.5833,Quinta das Giestas
113,Bungu,TZ,70.52,broken clouds,-7.6337,39.0582,JaJa Lodge
115,Tautira,PF,79.18,scattered clouds,-17.7333,-149.15,Pension Oaoa
116,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
117,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
118,Toamasina,MG,71.6,scattered clouds,-18.1667,49.3833,Hotel H1
119,Omboue,GA,77.02,broken clouds,-1.5746,9.2618,Hotel Olako
122,Jalu,LY,82.15,clear sky,29.0331,21.5482,صاحبة الفخامة
124,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
125,Bibiani,GH,72.55,overcast clouds,6.4635,-2.3194,Rodick Hotel
127,Taquaritinga Do Norte,BR,77.22,broken clouds,-7.9031,-36.0442,Pousada Thalyta
128,Buchanan,LR,77.38,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
136,Samarai,PG,80.22,scattered clouds,-10.6167,150.6667,Nuli Sapi
138,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
140,Ahuimanu,US,75.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
142,Vao,NC,73.49,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
146,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
155,Morbach,DE,70.45,clear sky,49.8167,7.1167,Boardinghouse Morbach
158,Porto Seguro,BR,72.12,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
159,Zhangye,CN,70.43,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
162,Puerto Colombia,CO,89.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
163,Ponta Delgada,PT,72.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
165,Broome,US,87.48,few clouds,42.2506,-75.833,Chenango Valley State Park
166,Havre,FR,71.35,overcast clouds,49.5833,0.3333,gite bois jourdain
173,Barcelos,PT,70.92,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
174,Meulaboh,ID,78.28,overcast clouds,4.1363,96.1285,Kost Pria
178,Los Llanos De Aridane,ES,71.13,broken clouds,28.6585,-17.9182,Valle Aridane
181,Bosaso,SO,89.33,overcast clouds,11.2842,49.1816,Red Sea Hotel
185,Manta,EC,82.18,few clouds,-0.95,-80.7333,Balandra Hotel
187,Carnarvon,AU,71.58,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
191,Isangel,VU,76.12,broken clouds,-19.55,169.2667,Tanna Lodge
202,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
204,Tuy Hoa,VN,79.57,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
208,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
209,Senador Jose Porfirio,BR,84.85,clear sky,-2.5908,-51.9542,Pousada Novo Horizonte
210,Maragogi,BR,80.44,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
211,Adeje,ES,76.21,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
212,Kalmunai,LK,82.36,few clouds,7.4167,81.8167,VS Villa
215,Bubaque,GW,78.84,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
219,Kuhdasht,IR,76.87,clear sky,33.535,47.6061,فروشگاه زنبیل
223,Beyla,GN,80.74,overcast clouds,8.6833,-8.6333,DIAN SINKO
226,Tecoanapa,MX,84.02,scattered clouds,16.5167,-98.75,Hotel Manglares
227,Piacabucu,BR,81.57,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
228,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
229,Santa Cruz Cabralia,BR,71.83,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
231,Wajid,SO,85.33,overcast clouds,3.8093,43.2471,xamdihotelresturant114
237,Alghero,IT,82.49,clear sky,40.5589,8.3181,Smy Carlos V Alghero
238,Iberia,US,82.36,moderate rain,29.9502,-91.7507,back to back rv park
239,Kloulklubed,PW,82.99,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
240,San Nicolas,PH,80.26,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
242,Kavaratti,IN,83.62,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
246,Bandarbeyla,SO,80.92,broken clouds,9.4942,50.8122,JABIR HOTEL
248,Farmington,US,71.78,overcast clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
251,Aranda De Duero,ES,70.9,broken clouds,41.6704,-3.6892,Hotel Villa de Aranda
261,Cayenne,GF,85.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
270,Kutum,SD,85.33,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
271,Buin,CL,71.87,overcast clouds,-33.7333,-70.75,Paihuen
280,Makakilo City,US,74.68,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
281,Biak,ID,75.83,overcast clouds,-0.9131,122.8766,Penginapan Kim
282,Namibe,AO,70.61,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
285,Buala,SB,80.08,light rain,-8.145,159.5921,Maringe Lagoon Lodge
286,Kupang,ID,76.78,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
287,Salinopolis,BR,82.69,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
288,Mogadishu,SO,80.55,overcast clouds,2.0371,45.3438,Hotel Juba
290,Varzea Da Palma,BR,82.65,few clouds,-17.5981,-44.7308,Casa Fernandes
292,Libertador General San Martin,AR,75.97,clear sky,-23.8064,-64.7876,Posada del Sol
296,Paragominas,BR,81.75,scattered clouds,-2.9667,-47.4833,INOVA
306,Maningrida,AU,72.41,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
307,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
310,Isiro,CD,74.5,broken clouds,2.7739,27.616,Guest House Hewa Bora
312,Bengkulu,ID,77.02,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
315,Claveria,PH,77.0,overcast clouds,18.6074,121.0832,Casa Grand Inn By The Sea
317,Esmeraldas,BR,77.11,few clouds,-19.7625,-44.3139,Forasteiro Pousada
320,Itamarandiba,BR,73.63,scattered clouds,-17.8572,-42.8589,Aricanduva Hotel
321,Destin,US,72.05,broken clouds,30.3935,-86.4958,Wingate by Wyndham Destin
325,Trairi,BR,84.31,scattered clouds,-3.2778,-39.2689,janelas do mar
