City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Santa Cruz,BO,-17.8,-63.1667,78.85,44,75,9.22,broken clouds
1,Jamestown,US,42.097,-79.2353,65.84,94,100,11.5,light rain
2,Baturite,BR,-4.3286,-38.8847,83.7,64,41,8.7,scattered clouds
3,Riihimaki,FI,60.7377,24.7773,53.94,37,89,5.1,overcast clouds
4,Boda,CF,4.3189,17.4695,81.81,56,49,3.4,scattered clouds
5,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,16.11,scattered clouds
6,Severo-Kurilsk,RU,50.6789,156.125,40.35,96,100,16.22,overcast clouds
7,Dingle,PH,10.9995,122.6711,77.61,90,100,4.25,overcast clouds
8,Albany,US,42.6001,-73.9662,88.92,50,35,10.04,scattered clouds
9,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,10.36,light rain
10,Ilulissat,GL,69.2167,-51.1,33.46,99,100,10.2,light snow
11,Hobart,AU,-42.8794,147.3294,50.25,84,100,11.5,overcast clouds
12,Faanui,PF,-16.4833,-151.75,80.74,71,8,13.22,clear sky
13,Port Alfred,ZA,-33.5906,26.891,58.17,90,30,1.45,scattered clouds
14,Kikwit,CD,-5.041,18.8162,77.22,73,86,4.0,light rain
15,Nago,JP,26.5881,127.9761,74.25,83,92,5.84,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,75.92,76,8,14.09,clear sky
17,Tandur,IN,17.2333,77.5833,89.17,42,7,19.48,clear sky
18,Inta,RU,66.0317,60.1659,33.44,96,100,17.98,light snow
19,Vaini,TO,-21.2,-175.2,75.36,88,40,3.44,scattered clouds
20,Atuona,PF,-9.8,-139.0333,77.22,82,24,17.13,light rain
21,Ushuaia,AR,-54.8,-68.3,37.06,93,20,2.3,few clouds
22,Caravelas,BR,-17.7125,-39.2481,76.73,58,17,7.96,few clouds
23,Busselton,AU,-33.65,115.3333,61.14,72,86,24.34,light rain
24,Nikolskoye,RU,59.7035,30.7861,53.49,44,0,3.76,clear sky
25,Castro,BR,-24.7911,-50.0119,66.67,37,1,4.41,clear sky
26,Cape Town,ZA,-33.9258,18.4232,63.12,80,0,6.91,clear sky
27,Tezu,IN,27.9167,96.1667,70.57,92,5,4.85,clear sky
28,Torbay,CA,47.6666,-52.7314,63.28,42,100,14.97,overcast clouds
29,Yellowknife,CA,62.456,-114.3525,34.32,100,100,9.22,light snow
30,Butaritari,KI,3.0707,172.7902,80.96,82,100,13.76,moderate rain
31,Chuy,UY,-33.6971,-53.4616,64.72,52,0,2.53,clear sky
32,Khatanga,RU,71.9667,102.5,32.29,92,100,5.82,overcast clouds
33,Avarua,CK,-21.2078,-159.775,75.25,94,75,4.61,light intensity shower rain
34,Richards Bay,ZA,-28.783,32.0377,65.46,84,93,19.82,light rain
35,Margasari,ID,-7.1,109.0167,76.46,91,80,1.52,broken clouds
36,Naryan-Mar,RU,67.6713,53.087,29.39,80,99,23.91,overcast clouds
37,Roma,US,43.2128,-75.4557,84.96,60,47,1.99,scattered clouds
38,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,0.0,light rain
39,Moba,CN,33.2288,105.0179,52.38,95,22,4.12,few clouds
40,Cidreira,BR,-30.1811,-50.2056,63.34,63,100,4.38,overcast clouds
41,Hilo,US,19.7297,-155.09,76.28,73,65,4.0,broken clouds
42,Coffs Harbour,AU,-30.3,153.1333,59.13,88,75,14.97,broken clouds
43,Yelizovo,RU,53.1873,158.3805,41.14,100,75,4.47,broken clouds
44,Acari,PE,-15.4311,-74.6158,77.02,52,82,8.25,broken clouds
45,Hithadhoo,MV,-0.6,73.0833,84.06,71,90,12.24,overcast clouds
46,Hailey,US,43.5196,-114.3153,49.89,67,86,5.01,overcast clouds
47,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,86,100,3.8,light rain
48,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,57,20,17.27,few clouds
49,Alofi,NU,-19.0595,-169.9187,66.09,94,19,1.14,few clouds
50,Benguela,AO,-12.5763,13.4055,73.35,73,31,5.55,scattered clouds
51,Souillac,MU,-20.5167,57.5167,75.58,73,40,10.36,scattered clouds
52,Harindanga,IN,22.0383,88.3214,85.55,70,72,8.93,broken clouds
53,Te Anau,NZ,-45.4167,167.7167,36.28,90,31,1.19,scattered clouds
54,Sao Filipe,CV,14.8961,-24.4956,72.88,75,64,13.73,broken clouds
55,Vardo,NO,70.3705,31.1107,37.38,93,100,16.11,moderate rain
56,Chokurdakh,RU,70.6333,147.9167,31.41,99,100,4.21,light snow
57,Kapaa,US,22.0752,-159.319,73.38,97,53,11.65,broken clouds
58,Port Hardy,CA,50.6996,-127.4199,48.38,93,75,3.44,mist
59,Padang,ID,-0.9492,100.3543,77.72,87,87,3.06,overcast clouds
60,Golspie,GB,57.9727,-3.978,64.47,80,100,3.2,overcast clouds
61,Kaitangata,NZ,-46.2817,169.8464,46.22,87,93,12.95,overcast clouds
62,Cairns,AU,-16.9167,145.7667,73.35,83,100,8.05,overcast clouds
63,Bethel,US,41.3712,-73.414,87.46,70,58,8.66,broken clouds
64,Lowestoft,GB,52.4752,1.7516,70.05,74,67,10.16,broken clouds
65,Saint Anthony,US,45.0205,-93.218,53.92,48,100,11.5,overcast clouds
66,Batsfjord,NO,70.6345,29.7185,44.53,87,75,13.8,broken clouds
67,Cherskiy,RU,68.75,161.3,46.65,61,83,8.86,broken clouds
68,Grindavik,IS,63.8424,-22.4338,55.35,66,0,23.02,clear sky
69,Pisco,PE,-13.7,-76.2167,66.02,82,100,6.91,mist
70,East London,ZA,-33.0153,27.9116,59.94,94,0,0.0,clear sky
71,Talara,PE,-4.5772,-81.2719,74.16,68,0,27.63,clear sky
72,Waterford,US,42.7023,-83.4027,61.0,81,100,5.75,overcast clouds
73,Andi,RU,42.7836,46.2617,51.6,60,0,4.61,clear sky
74,Tanah Merah,MY,5.8,102.15,81.55,89,85,1.86,overcast clouds
75,Saskylakh,RU,71.9167,114.0833,33.84,100,100,2.84,overcast clouds
76,Ardesen,TR,41.1911,40.9875,66.85,71,44,4.65,scattered clouds
77,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,26.46,light snow
78,Qaanaaq,GL,77.484,-69.3632,24.42,71,100,1.41,overcast clouds
79,Hirara,JP,24.8,125.2833,76.08,74,99,9.42,light rain
80,Saint George,US,37.1041,-113.5841,75.79,14,0,3.44,clear sky
81,San Joaquin,US,37.9333,-121.3011,77.52,22,60,7.67,broken clouds
82,Camocim,BR,-2.9022,-40.8411,81.7,78,54,4.76,broken clouds
83,Beloha,MG,-25.1667,45.05,67.37,67,34,6.49,scattered clouds
84,Moura,PT,38.1401,-7.4486,75.31,34,0,13.0,clear sky
85,Northam,GB,51.0333,-4.2167,59.67,83,85,11.18,overcast clouds
86,Moose Factory,CA,51.2585,-80.6094,46.4,53,100,8.05,overcast clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,61.95,57,0,11.5,clear sky
88,Hasaki,JP,35.7333,140.8333,61.29,79,98,7.94,overcast clouds
89,Ribeira Grande,PT,38.5167,-28.7,66.6,94,75,3.44,broken clouds
90,Inyonga,TZ,-6.7167,32.0667,70.77,59,59,4.72,broken clouds
91,Tanout,NE,14.9709,8.8879,100.04,10,94,7.07,overcast clouds
92,Lasa,IT,46.6166,10.7002,73.69,56,96,3.78,overcast clouds
93,Poum,NC,-20.2333,164.0167,78.1,82,82,14.72,broken clouds
94,Broken Hill,AU,-31.95,141.4333,55.04,79,22,8.12,few clouds
95,Mataura,NZ,-46.1927,168.8643,43.27,95,99,6.49,overcast clouds
96,Airai,TL,-8.9266,125.4092,58.59,93,36,3.11,scattered clouds
97,Eyl,SO,7.9803,49.8164,82.08,77,89,24.4,overcast clouds
98,Barrow,US,71.2906,-156.7887,18.82,95,68,8.7,broken clouds
99,Murzzuschlag,AT,47.6,15.6833,67.06,62,14,3.11,few clouds
100,Marawi,PH,7.9986,124.2928,69.37,96,100,3.04,overcast clouds
101,Basoko,CD,1.2391,23.616,80.1,68,90,0.67,overcast clouds
102,Kieta,PG,-6.2167,155.6333,78.53,80,29,0.89,scattered clouds
103,Maraba,BR,-5.3686,-49.1178,91.58,49,20,4.61,few clouds
104,Manzanillo,CU,20.3433,-77.1167,89.38,51,99,8.25,overcast clouds
105,Clyde River,CA,70.4692,-68.5914,19.63,93,100,33.38,heavy snow
106,Vanersborg,SE,58.3807,12.3234,63.57,58,40,4.61,scattered clouds
107,Sinnamary,GF,5.3833,-52.95,80.58,82,74,7.81,broken clouds
108,Rabo De Peixe,PT,37.8,-25.5833,71.28,91,75,9.22,broken clouds
109,Thompson,CA,55.7435,-97.8558,57.36,38,40,3.44,scattered clouds
110,Otjiwarongo,NA,-20.4637,16.6477,55.56,25,0,6.69,clear sky
111,Yulara,AU,-25.2406,130.9889,57.09,40,57,7.61,broken clouds
112,Ahipara,NZ,-35.1667,173.1667,59.4,78,100,11.03,overcast clouds
113,Bungu,TZ,-7.6337,39.0582,70.52,92,72,3.38,broken clouds
114,Hermanus,ZA,-34.4187,19.2345,55.8,84,48,10.38,scattered clouds
115,Tautira,PF,-17.7333,-149.15,79.18,75,29,13.98,scattered clouds
116,Vila Velha,BR,-20.3297,-40.2925,80.55,50,75,11.5,broken clouds
